Channel Parent Category;Channel ID
11000;11000
11000;11001
11000;11002
11000;11003
11000;11004
12000;12000
12000;12001
12000;12002
12000;12003
12000;12004
13000;13000
21000;21000
21000;21001
47000;21002
23000;21003
51000;21004
21000;21005
22000;21006
21000;21007
22000;21008
51000;21009
23000;21010
21000;21011
21000;21013
22000;21014
22000;21015
21000;21016
32000;21017
21000;21018
22000;21019
21000;21020
51000;21021
21000;21022
21000;21023
21000;21024
22000;21025
22000;21026
22000;21027
23000;21028
21000;21029
23000;21030
21000;21031
21000;21032
22000;21033
21000;21034
22000;21035
21000;21036
22000;21037
21000;21038
51000;21039
22000;21040
21000;21041
21000;21042
32000;21043
21000;21044
21000;21045
21000;21046
22000;21047
23000;21048
22000;21049
22000;21050
23000;21051
21000;21053
21000;21054
23000;21055
31000;21056
21000;21057
22000;21058
23000;21059
22000;21060
21000;21061
21000;21062
21000;21063
21000;21064
21000;21501
21000;21502
21000;21503
21000;21504
21000;21505
21000;21506
21000;21507
21000;21508
21000;21509
22000;22000
22000;22501
22000;22502
23000;23000
23000;23501
31000;30001
31000;30003
31000;30004
31000;30005
31000;30006
31000;30007
31000;30008
31000;30009
41100;30010
31000;30011
31000;30012
31000;30013
31000;30014
31000;30015
31000;30016
31000;30017
31000;30018
31000;30019
31000;30020
31000;31000
32000;31001
32000;31002
32000;31003
32000;31004
32000;31005
31000;31006
32000;31007
32000;31008
32000;32000
41000;41000
41100;41100
41100;41101
47000;41102
41100;41103
41300;41104
41300;41105
41300;41106
41100;41107
41100;41108
41100;41110
41100;41111
41100;41112
41100;41114
41100;41116
41100;41119
41100;41120
41100;41121
41100;41122
41100;41123
41100;41125
41600;41126
41100;41127
41300;41128
41100;41129
41100;41130
41100;41131
41600;41132
41600;41133
41100;41134
41100;41135
41600;41136
41600;41137
41600;41138
41100;41140
41400;41141
41600;41142
41100;41143
41100;41144
41100;41145
41100;41146
41400;41147
41500;41148
41100;41149
41300;41150
41300;41151
41000;41217
41300;41300
41300;41301
41300;41302
41300;41303
41300;41304
41300;41305
41300;41306
41300;41307
41300;41308
41300;41309
41300;41310
41300;41312
41300;41313
41300;41314
41300;41315
41300;41316
47000;41317
41600;41318
41300;41319
41100;41320
41300;41321
41400;41400
41400;41401
41400;41402
41400;41403
41500;41500
41400;41501
41300;41502
41400;41503
41600;41600
42000;42000
42000;42001
42000;42003
42000;42004
43000;43000
43000;43001
43000;43002
43000;43003
43000;43004
43000;43005
43000;43006
43000;43007
44000;44000
44000;44001
44000;44002
44000;44003
44000;44004
44000;44005
44000;44006
44000;44007
44000;44008
41100;45001
41100;45002
41100;45003
46000;46000
46000;46002
46000;46003
46000;46004
46000;46005
46000;46006
46000;46007
46000;46008
46000;46009
46000;46012
46000;46013
46000;46015
46000;46016
46000;46017
46000;46018
46000;46019
46000;46020
46000;46021
46000;46022
46000;46023
46000;46024
46000;46025
46000;46026
46000;46027
47000;47000
47000;47001
47000;47002
47000;47003
47000;47005
51000;47008
47000;47009
32000;47010
47000;47011
47000;47012
47000;47013
47000;47015
51000;47017
51000;47018
47000;47019
51000;47020
51000;47021
47000;47022
47000;47025
47000;47026
47000;47027
32000;47028
47000;47029
47000;47034
21000;47035
47000;47036
47000;47037
47000;47040
51000;47041
22000;47042
31000;47043
47000;47044
47000;47045
47000;47046
51000;47047
47000;47050
51000;47051
51000;47053
51000;47054
51000;47055
51000;47056
51000;47057
47000;47058
47000;47059
47000;47061
51000;47062
51000;47063
47000;47064
41600;47065
41100;47066
47000;47067
47000;47068
51000;47069
51000;47070
51000;47071
47000;47073
47000;47074
51000;47075
47000;47076
47000;47077
41600;47078
47000;47079
47000;47080
47000;47081
47000;47082
41100;47083
47000;47084
47000;47086
47000;47087
47000;47089
47000;47092
47000;47093
47000;47095
47000;47096
47000;47097
47000;47098
51000;47099
47000;47100
51000;47101
51000;47103
51000;47104
47000;47105
47000;47106
47000;47107
47000;47109
47000;47110
47000;47111
47000;47112
47000;47113
47000;47114
47000;47116
47000;47117
47000;47118
47000;47119
47000;47120
47000;47121
47000;47122
47000;47123
47000;47124
47000;47125
47000;47127
47000;47128
47000;47129
47000;47130
47000;47131
47000;47132
47000;47134
47000;47135
47000;47136
47000;47137
47000;47138
47000;47139
47000;47140
47000;47141
47000;47142
47000;47143
47000;47144
47000;47145
47000;47146
47000;47147
47000;47148
47000;47149
47000;47150
47000;47400
47000;47501
47000;47502
47000;47503
47000;47504
51000;51000
51000;51001
61000;61000
61000;61001
61000;61003
61000;61004
61000;61005
61000;61006
61000;61007
61000;61008
61000;61009
61000;61010
62000;62000
62000;62001
62000;62002
62000;62003
62000;62004
62000;62005
62000;62006
62000;62007
62000;62008
62000;62009
62000;62010
63000;63000
63000;63001
63000;63002
63000;63003
63000;63004
63000;63005
63000;63006
63000;63007
63000;63008
63000;63009
63000;63010
90000;90000
